district_name,population,area,population_density,sex_ratio,literacy,total_workers,non_workers,WPR
Central,582320,21,27729.52380952381,892,85.14,207374,374946,35.611691166369006
East,1709346,63,27132.47619047619,884,89.31,579692,1129654,33.91308722751275
New Delhi,142004,35,4057.2571428571428,822,88.34,59541,82463,41.92910058871581
North,887978,61,14557.016393442624,869,86.85,296446,591532,33.38438564919401
North East,2241624,62,36155.22580645161,886,83.12,655398,1564699,29.237641995267715
North West,3656539,443,8254.038374717833,865,84.74,1121005,2321536,30.6575425559525
South,2731929,247,11060.44129554656,862,86.57,924393,1807536,33.836640703327205
South West,2292958,421,5446.456057007126,840,88.28,795352,1497606,34.68672343758586
West,2543243,130,19563.407692307694,875,86.98,874320,1668923,34.37815419132187
